,Country,Population,Density,HDI,Hospital_beds_per_1000
165,Solomon Islands,680806,24,0.557,
166,Macau (China),679600,20286,,
167,Montenegro,622359,45,0.816,
168,Luxembourg,613894,237,0.909,4.66
169,Western Sahara,582463,2.3,,
170,Suriname,581372,3.5,0.724,
171,Cape Verde,550483,136,0.651,
172,Malta,493559,1510,0.885,
173,Transnistria,469000,113,,
174,Brunei,442400,73,0.845,
175,Belize,408487,17,0.72,
176,Bahamas,385340,28,0.805,
177,Maldives,374775,1269,0.719,
178,Iceland,364260,3.5,0.938,3.06
179,Northern Cyprus,351965,105,,
180,Vanuatu,304500,25,0.597,
181,Barbados,287025,668,0.813,
182,New Caledonia (France),282200,14,,
183,French Polynesia (France),275918,79,,
184,Abkhazia,244832,28,,
185,São Tomé and Príncipe,201784,202,0.609,
186,Samoa,200874,70,0.707,
187,Saint Lucia,178696,292,0.745,
188,Guam (US),172400,319,,
189,Curaçao (Netherlands),158665,,,
190,Artsakh,148000,13,,
191,Kiribati,120100,148,0.623,
192,Aruba (Netherlands),112309,,,
193,Grenada,112003,316,0.763,
194,Saint Vincent and the Grenadines,110608,284,0.728,
195,Jersey (UK),106800,,,
196,U.S. Virgin Islands (US),104578,,,
197,F.S. Micronesia,104468,,,
198,Tonga,100651,140,0.717,
199,Seychelles,97625,213,0.801,
200,Antigua and Barbuda,96453,235,0.776,
201,Isle of Man (UK),83314,,,
202,Andorra,77543,164,0.857,
203,Dominica,71808,97,0.724,
204,Cayman Islands (UK),65813,254,,
205,Bermuda (UK),64027,1227,,
206,Guernsey (UK),62792,,,
207,American Samoa (US),56700,288,,
208,Greenland (Denmark),56081,0.03,,
209,Northern Mariana Islands (US),56200,123,,
210,Marshall Islands,55500,307,0.698,
211,South Ossetia,53532,14,,
212,Saint Kitts and Nevis,52823,209,0.777,
213,Faroe Islands (Denmark),52124,34,,
214,Turks and Caicos Islands (UK),41369,76,,
215,Sint Maarten (Netherlands),40614,,,
216,Liechtenstein,38557,240,0.917,
217,Monaco,38300,18960,,
218,Saint Martin (France),35746,660,,
219,Gibraltar (UK),33701,4874,,
220,San Marino,33574,568,,
221,British Virgin Islands (UK),30030,213,,
222,Åland Islands (Finland),29885,18,,
223,Palau,17900,40,0.814,
224,Cook Islands (NZ),15200,64,,
225,Anguilla (UK),14869,140,,
226,Wallis and Futuna (France),11700,,,
227,Nauru,11000,524,,
228,Tuvalu,10200,392,,
229,Saint Barthélemy (France),9793,,,
230,Saint Pierre and Miquelon (France),6008,25,,
231,"Saint Helena, Ascensionand Tristan da Cunha (UK)",5633,,,
232,Montserrat (UK),4989,48,,
233,Falkland Islands (UK),3198,0.21,,
234,Christmas Island (Australia),1928,15,,
235,Norfolk Island (Australia),1756,50,,
236,Niue (NZ),1520,6,,
237,Tokelau (NZ),1400,150,,
238,Vatican City,799,2273,,
239,Cocos (Keeling) Islands (Australia),538,39,,
240,Pitcairn Islands (UK),50,1.2,,
241,World,7772045000,,0.731,
